,学科,科目,学员性别,学员年龄,薪酬水平,乘车补贴,学员状态,就读学校,教授时间,blank,居住区域,交通线路,blank,性别要求,需求人数,资格要求1,资格要求2,教学方式,状态
166,陪玩家教,幼儿家教,女,4岁半,120/2h,无,陪幼儿园小朋友做手工 玩游戏为主,,暑假周一到周五下午1-3点 2-3次,,,龙吴路龙恒路,,女,1人,在校教员，家教经验丰富的，耐心负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
167,奥数 语文家教,二年级家教,男,7,150/2h,无,主要是奥数，奥数比较难，学的效果不理想。语文成绩中的，提高。,,星期三2点～4:点，星期五10点到12点、下午2点到4点，一周2次，一次两个小时。,,花木,东绣路锦和路交界附近，2号线7号线4号线蓝村转一部公交10分钟可到,,无,1人,"在校教员，对奥数有经验的,有 补课经验的。",学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
168,英语家教,高三家教,男,18,200/2h,无,"补差型,英语极差，今年高考55，准备复读一年",,暑假一周3次 一次2小时,,,华丰路临沂路,,男,1人,在校教员，认真负责 有耐心 带过高三的英语家教,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
169,全科家教,四年级家教,男,,120/2h,无,9月份5年级，作业答疑解惑，语文英语：阅读理解，词汇量加大。数学成绩中等，概念方面加强。,闵行实验小学,7月15日开始，周一三五下午，一周各一次，一次两个小时。,,,平阳路虹莘路交界附近，12号线虹莘路站出来走10分钟可到,,无,1人,在校教员，耐心好一点的，负责一点，有补课经验的。学校好一点的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
170,钢琴陪练家教,四年级家教,男,,350/2H,无,孩子8月份考10级,,暑假里7.8-8.17号 每天2小时，帮助小朋友过10级 开学后也需要,,,广州路杨浦大桥附近,,无,1人,在校教员，有辅导经验的，耐心，负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
171,计算机家教,大一家教,男,,400/2h,无,C语言和Java，在英国读书，开学大二,国外大学,一周2次，一次2个小时，时间可以协商,,,张杨路陆家嘴国际华城,,无,1人,专业一点，负责耐心的,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,在线辅导",['已关闭']
172,英语家教,四年级家教,男,10,130/2H,无,开学4年级 补差型 巩固加提升,,周六周日的时间，一周2次，一次2H,,祝桥,祝桥镇金亭路百熙路交界附近，188路,,男,1人,在校教员，有辅导经验，耐心，负责，会跟孩子沟通的,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,学员上门",已关闭
173,数学家教,六年级家教,男,,350/2h,无,开学初一 预习新课  成绩差 补差,卢湾中学,暑假一周2-3次 每次2小时,,,日月光打浦桥,,无,1人,在职教师，有补课经验的老师 最好女老师擅于补差,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
174,全科家教,六年级家教,男,,200/3H,无,开学6年级陪做作业 初中的功课,,周一到周五 下午 一次3H 一周5次,,古美路街道,顾戴路龙茗路交界附近，12号线顾戴路站步行8分钟,,女,1人,在校教员，有辅导经验的，耐心，负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
175,英语家教,初一家教,女,,140/2H,无,开学初一 成绩蛮好的 提高型 加强原版阅读,民办小学,暑假一周2次 周二和周四时间协商 一次2小时,,,肇嘉浜路201弄肇嘉浜路201弄交界附近，嘉善路地铁站步行4分钟,,无,1人,在校教员，性格活跃一点的 有辅导经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
176,数学家教,高一家教,女,,400/2h,无,中考成绩区重点的分数。预习新高一的内容。,杨园中学,周末白天，一周1次，一次两个小时。周天上午9点到11点,,,新园路洲海路交界附近，6号线五洲大道,,无,2人,在职教师，有补课经验的，耐心的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
177,乒乓球家教,初一家教,男,,150/1h,无,开学初一没有基础,长宁中学,每次1-1.5，一周两三次,,,万航渡路龙之梦交界附近，2.3.4.中山公园下来10分钟,,无,1人,在校教员，老师有教学经验，认真负责耐心好,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
178,英语家教,高一家教,女,,260/2h,无,雅思 还没考过口语 阅读指导 开学高一 孩子要上国际学校的 要口语好的 要学雅思的,,一周2-3次  7月中旬后开始,,,临平路天宝路交界附近，4.10 邮电新村下来10分钟,,无,1人,在校教员，有补课经验的 擅长口语的知道,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
179,英语家教,初一家教,男,,160/2h,无,成绩不太好，中下,,一周1-3次，一次2个小时，时间可商,,,古北路长宁路交界附近，虹桥万博花园,,男,1人,在校教员，最好是大二大三都可，有经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
180,全科家教,二年级家教,男,,130/2h,无,开学三年级 预习,上师大一附小,暑假一周3次，一次2个小时 两个地址上课,,,闵行东兰路龙茗路徐汇区漕宝路桂平路交界附近，12号线万源路下来10分钟,,无,1人,在校教员，有补习家教经验的，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
181,金融 会计家教,大二家教,男,,600/3h,无,基础一般 英文教材，新大三学生 现在课程是企业金融，corporate finance,上海纽约大学,暑假一周3次 时间可协商 每次3小时,,陆家嘴,世纪公园上海纽约大学,,无,1人,要求相关专业的。有教学经验的。要求金融研究生毕业的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
182,物理，化学家教,初二家教,女,,350/2h,无,9月份初三，成绩100分考80分左右，提高到90多分。,普贤中学,暑期全周，一周各一次，一次两个小时。,,,长岛路东陆路交界附近，6号线博兴路走10分钟,,无,2人,在职教师，有责任心，有补课经验的老师。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
183,全科辅导家教,三年级家教,男,,130/2H,无,开学4年级 主要是英语 数学的概念，还有语文的写作,,一周2-3次，周一周五的白天 一次2H 7月27号-8月10号学员不在上海,,曹家渡,武定路瀚林府邸,,无,1人,在校教员，有辅导经验的， 耐心一点的，负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
184,数学家教,高一家教,女,,240/2h,无,学习成绩良好 开学高一,徐汇中学,暑假开始，一周1次 下午,,,龙华路宛平南路交界附近，12龙华下来3号出来走5分钟,,无,1人,在校教员，有补课辅导经验的，负责一点的，名牌大学在读或是毕业的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
185,中文家教,成人家教,男,,220.2h,无,有点基础，要学中文,27,平时晚上或周末,,,交通大学徐汇校区交通大学徐汇校区交界附近，交通大学徐汇校区,,无,1人,有补课经验的，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
186,数学家教,六年级家教,男,,150/2h,无,小孩学习成绩一般，性格开朗,,每周5次，周一到周四  9或下午17，周五-周天 9-11  下午3-5点,,,新园路园一路交界附近，6号线航津路,,女,1人,在校教员，有丰富的经验，一定要做过家教 并对孩子有所提高的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
187,数学、物理 化学家教,初二家教,男,12,200/2小时45分钟,无,需要找初中物理数学化学家教，要求物理数学专长强，会归纳总结方法的老师，,外国语学校,目前周六晚上 ，一周一次  一次两个小时45分钟,,,浦北路桂林路,,无,1人,在校教员，希望一定要擅长物理数学，认真的，善于讲解的，讲不清的不要,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
188,论文辅导、英语家教,成人家教,男,22,240/2H,无,国外留过学，想打扎实语法和提高写作水平 主要是成人网络教育 关于国际贸易的论文辅导（11月份交）,,"双休日时间都可以协商 论文辅导一周2次  英语一周1次
一次2小时",,,徐汇、长宁、黄浦、静安、闵行都可以协商徐汇、长宁、黄浦、静安、闵行都可以协商,,无,1人,在校教员，有经验的，负责一点的，也可以公共场所上课的，最好有留学经验的写过论文的毕业生、研究生,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
189,数学，英语 语文家教,二年级家教,男,7,500/4H,无,提高型 中等偏上的成绩，陪写作业，规划孩子学习习惯,国际学校,7月份周一到周五4点到8点，一周5次，开学也是这个时间，8月份不要 8月20号之后可以,,半淞园路,保屯路西藏南路交界附近，4号 8号线,,女,1人,专职教师，有辅导经验的，耐心，负责 有国际学校的教学经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
190,物理 化学家教,初三家教,女,,160/2h,无,开学升初三 成绩中等，提早学习,金苹果私立学校,一周3次，周一周五的白天，一次2H,,,高平路沪太路支路,,女,1人,在校教员，辅导经验丰富的，耐心，严厉一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
191,钢琴陪练家教,初一家教,男,,200/1h,无,目前小孩7级，钢琴想要要考9级,外国语学校,周二四日，上午，8:30或8:45，这周四开始,,,杨高南路御桥路,,女,1人,在校教员，上海音乐学院的学生优先，有丰富的辅导经验，钢琴系，音教系或作曲系专业的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
192,数学英语家教,初一家教,男,13,150/2h,无,开学初二，数学英语需要辅导下，成绩一般,,暑假白天，一周2到3次,,杨行,水产路康桥水都东区,,无,1人,在校教员，在校教员或者有经验的大学生,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
193,语文家教,六年级家教,女,,150/2h,无,开学6年级成绩一般 预习新课程  古文汉语言 督促,世袭,一周2次平时 一周到五  每次2小时 下周开始 上午9.30-11.30,,曹家渡,新闸路延平路交界附近，2号=线静安寺,,女,1人,在校教员，有补课经验的 名校毕业的最好 有耐心 善于沟通,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
194,英语家教,五年级家教,男,,150/2H,无,成绩还可以提早学习。开学六年级,上海实验小学附,7.14开始，一周2-3次，一次两个小时，时间可商,,,东明路昌里东路,,无,1人,在校教员，有辅导经验，阳光的 最好是同济 复旦的，名校的 最好是研究生,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
195,高等数学家教,成人家教,男,20+,200/2h,无,零基础 想考初中教师资格证 高等代数和微积分教学,,暑假一周2-3次 周一到周日时间可协商 每次1.5小时,,,德悦路501弄德悦路501弄交界附近，9号线,,无,1人,在校教员，一定是有带过高等数学的家教经验 有耐心一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
196,语数外家教,一年级家教,男,,120/2h,无,开学2年级，复习预习一下，数学为主,,8月1日开始 ，一周来2次，晚上7点开始,,,场中路,,无,1人,在校教员，有辅导经验，耐心一点，负责的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
197,全科家教,一年级家教,女,,130/2H,无,读英语绘本的，还可以，成绩不错,,周一到周五，一周5次，一次两个小时。暑假时间协商。,,,羽山路民生路交界附近，6号线 民生站,,女,1人,在校教员，有补课经验的 耐心 负责。华师大，复旦的在校大学生优先 大三和大四 研究生,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
198,英语家教,初一家教,男,,350/2h,无,成绩一般 希望提高，开学初二,新复兴,一周一次，时间协商,,,新同心路株洲路交界附近，3号线龙之梦1号线延长路,,无,1人,有辅导经验，负责一点的，要上外毕业的老师或大学生，要上海人,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
199,数学家教,高二家教,女,16,180/2h,无,开学高二 成绩不是很好 课前预习和课后布置作业,,一周2次，一次2H,,三林镇,和融路三彩路交界附近，8号线芦恒路步行10分钟以内或者公交车576，810,,无,1人,在校教员，辅导家教经验丰富 耐心一点，要上海人，理科好一点的,课前预习和课后布置作业,学员要求看简历，有意向的教员请认真完善简历。,['已关闭']
200,数理英家教,初三家教,男,,220/3h,无,开学初三 预习,,"暑假周二四六下午1-4点 一周3次 一次3小时 
开学后双休日一周一次",,,富南路杨南路交界附近，离地铁7号线步行15分钟,,男,1人,在校教员，有耐心 补习家教经验丰富,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
201,毛笔字家教,四年级家教,女,,200/1h,无,开学五年级 毛笔零基础,私立小学,暑假双休日上午 一周1次,,,真华路大华二路,,无,1人,在职教师，补习家教经验丰富的，有耐心，专业的老师,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
202,全科辅导家教,一年级家教,男,,120/2h,无,一年级男孩数学、英语。开学二年级 主要数学 英语,,"暑假周1-5，每天上午9:15-11:15,2小时，每小时60元。一年级男孩数学、英语。",,,花木路世纪公园,,女,1人,在校教员，有补课经验的 最好数学,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
203,语文家教,三年级家教,女,,300/2h,无,开学4年级  阅读的题目 基础的基础,,一周2次，一次2个小时，,,,昌化路淮安路,,女,1人,专职教师，学校的老师，有经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
204,小提琴家教,四年级家教,女,,120/1h,无,四升五  准备考三级  陪练,,一周1-2次  一次1小时 时间可以协商,,,凌云新村,,无,1人,认真负责有经验，离家近的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
205,数学家教,五年级家教,男,7,150/2h,无,5升6 成绩还可以,外国语小学,星期三和星期天 ，一周2次,,金桥,巨峰路五莲路交界附近，6号12线下来10分钟,,男,1人,在校教员，要学校好一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
206,英语，日语家教,成人家教,男,29,100/2h,无,看学员背书是否出错，只要看着书听有没有背错，纠正错误就可以了,,"一周2~3次，时间协商
平时晚上，周末时间可以协商",,,人民广场附近或陆家嘴附近交界附近，10号线四平路站附近,,女,1人,英语六级，日语一级，电话语音指导就可以。,学员要求看简历，有意向的教员请认真完善简历。,协商,['已关闭']
207,全科家教,四年级家教,女,,140/2h,无,成绩不是很好，需要提高,上市国际部,一周3次左右，时间协商,,,星站路中春路,,女,1人,在校教员，有经验的。带过小朋友的，耐心一下,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
208,英语家教,初二家教,男,,350/2h,无,学习成绩一般，提高,,一周2次，一次2个小时，周二和周四下午,,,西康路宜昌路交界附近，7号线,,男,1人,专职教师，有辅导经验 ，幽默风趣，能与学生沟通,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
209,作业辅导家教,幼儿家教,女,,90/1.5H,无,大班  教一些简单的数学 再认认字什么的,,周二 周四晚上有空  一周2次，一次1.5H,,威海路,威海路中凯城市之光,,女,1人,在校教员，有辅导经验 有耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
210,英语口语家教,一年级家教,男,7,220/2h,无,开学一年级，零基础，口语强化,,每天下午3点-5点.一周至少5天,,,上河湾千阳南路,,女,1人,擅长英语的，专业一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
211,语文、数学 英语家教,高二家教,男,,180/2h,无,江西教材，成绩一般，学文科的。,,暑假7月开始全周，一周2~3次，一次两个小时。,,南桥,环城东路九华丽苑交界附近，5号线环城东路走5分钟,,无,1人,在校教员，有补课经验的，商学院，华东理工，上海师范的优先,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
212,物理家教,初一家教,女,,90/1.5h,无,开学初一提前学习物理,金鹤小学,一周周2次，一次1.5个小时，平时晚上或者周末,,,网络授课网络授课,,男,1人,在校教员，辅导经验丰富的，耐心，,学员要求看简历，有意向的教员请认真完善简历。,在线辅导,['已关闭']
213,数学家教,高一家教,女,,150/2H,无,开学高一 提前学习,,一周一次，一次2H 7月底开始上课,,,真南路 真北路交界附近，11号李子园地铁站,,无,1人,在校教员，有辅导经验的，耐心，负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
214,数学家教,初一家教,男,,140/2h,无,成绩还可以 基础要补一下,,每周一次，周二 周四的上午 ，一次2H,,,宝钢三村宝钢三村,,男,1人,在校教员，有辅导家教经验的，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
215,奥数家教,三年级家教,女,,150/2h,无,小学生三升四奥数辅导，教材主要是奥数精讲系列的书 成绩一般,盛大,一周2次  每次2小时,,,浦驰路交界附近，8号线浦江镇站,,无,1人,有补课经验,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
216,语文家教,高一家教,男,,5002h,无,新高一 成绩平均分以下 作文阅读古诗文积累强化,上师大第三实验学校,周一三五上午或下午 一周2次 一次2H  时间可以协商,,,三江路漕宝路交界附近，1号线漕宝路步行10分钟左右,,无,1人,在职教师，有补习辅导经验的，耐心，负责 公办市重点的语文老师针对高考方面强化训练,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
217,英语家教,三年级家教,女,,150/2h,无,开学三年级 比较好，提高的，外面外教上课回来拎一下 讲原版故事,,"暑假周三全天 周五上午或晚上7-9点
周六上午 周日全天 一周2次 一次2小时",,,昌邑路民生路,,女,1人,补习家教经验丰富的，口语发音好一点，上门带学生证身份证,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
218,英语家教,三年级家教,男,,120 /2h,无,开学3年级 拔尖型 提前学习,徐汇实验,暑假里面 周一到周五的早上  4次 一次2H,,植物园,龙瑞路龙吴路,,无,1人,在校教员，有辅导经验的，耐心，负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
219,数学家教,二年级家教,男,,300/2h,无,开学3年级，数学基础不太好，补差型,,一周2-3次，一次2个小时，白天,,,上南路海阳路,,无,1人,在职教师，专业一点的老师，有辅导经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
220,钢琴家教,六年级家教,男,,200/2h,无,钢琴五级，陪练,,一周3次 一三五  每次1小时,,,呼玛路共和新路交界附近，一号线,,女,1人,在校教员，有补课经验的，要求音乐学院的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
221,化学家教,初二家教,男,,450/2h,无,"开学初三 初中很多知识点都会了
主要复习初中预习高中的知识点",,暑假一周1次 一次2小时 具体时间协商,,三林镇,洪山路1889弄洪山路1889弄交界附近，6号线,,无,1人,在职教师，有耐心的老师 补习经验丰富 高中在职老师,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
222,数学家教,六年级家教,女,12,200/2h,无,提高型 希望教员能用英语辅导孩子六年级数学。开学7年级  复习6年级课程  英文教材,国际学校,一周2次，具体些商，一次2小时,,武宁新村,武宁路中山北路,,无,1人,在校教员，有丰富的辅导经验，大学生或研究生，数学英语一定要好,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
223,数学家教,六年级家教,女,,150/2h,无,开学6年级 预习新课做练习 课内的 教材中文的,培佳双语学校,7.23号以后开始 一周1-2次,,,武威东路李子园,,女,1人,在校教员，在校的大学生，女生，数学好的  有补课经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
224,数学家教,高一家教,女,,500/2h,无,成绩一般,基地附中,一周三次，一天隔一天，上午10:00，下午1:00,,,沁春路中春路交界附近，1号线莘庄转公交3站,,无,1人,专职教师，最好严格点 能发现孩子的问题,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
225,辅导数学，英语作业家教,四年级家教,男,,130/2h,无,数学，英语方面有些薄弱，学生比较开朗,六师附小,"一天隔一天，周末可以不用过来
如果好的话上午10:00，中午12:00，过了暑假以后每周来四天",,,崮山路羽山路,,男,1人,在校教员，认真负责，有辅导经验，教授时不玩手机,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
226,钢琴家教,幼儿家教,女,,120/45分钟,无,8月份考6级,,周一6点 周四6:30 一周2次 一次45分钟 只要上7月份一个月时间（6节课）开学后的时间看教员带的怎么样,,,海伦路周家嘴路交界附近，3/10号线,,女,1人,在校教员，钢琴过10级,有耐心 有带过相关家教的,学员要求看简历，有意向的教员请认真完善简历。,已关闭
227,数学家教,四年级家教,女,,120/2h,无,开学5年级 成绩一般 需要提高,,暑假 一周1次   时间可以协商,,,富长路红林路,,无,1人,在校教员，能力比较好的  最好是住在宝山的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
228,英语家教,幼儿家教,男,4,150/2h,无,英语书读,,一周一次，8月份开始一周2次,,,金科路高科中路交界附近，金科路地铁站,,女,1人,有补课经验的  会弹钢琴最好或者写毛笔字,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
229,生物家教,高二家教,男,,240/2h,无,高一复习，高二预习,,一周2次，周一至周日任何时间段都可以,,,朱扬路沙家埭路交界附近，地铁17号线直达,,女,1人,在校教员，有丰富的辅导经验，擅长生物课程，华师大优先,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
230,语文家教,三年级家教,男,8,140/2h,无,一个语文老师，会教孩子写作文的，然后做下阅读理解，一个星期一次，目前时间上可以选择 每周六下午1-3点最好，如果不行的话，周一到周五其他下午2-4点，每次2小时,江武小学,目前时间上可以选择 每周六下午1-3点最好，如果不行的话，周一到周五其他下午2-4点，每次2小时,,,华山路镇宁路交界附近，2号线江苏路步行15分钟,,无,1人,在校教员，有补习经验的，负责任，英语专业 语文作文擅长的 师范学校的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
231,语文 英语家教,初二家教,男,,140/2H,无,开学初二 中等偏上 语文弱一些 复习预习,,暑假一周2次 平时+周末 一次2小时,,,桃浦西路鼓浪路,,女,1人,在校教员，有耐心 有补习家教经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
232,全科家教,二年级家教,女,,120/2h,无,开学三年级 侧重英语,尚德小学,暑假一周1-2次，一次2小时,,,秀沿路康桥交界附近，11号线秀沿路转公交,,女,1人,在校教员，开朗一点的，耐心一点，有经验  英语好一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
233,数学家教,初二家教,男,,450/2h,无,开学初三 学过一学期 继续往前学,,暑假一周1次 一次2小时 周三晚上,,,天钥桥路交界附近，11/4号线上海游泳馆5分钟,,无,1人,在职教师，有耐心的老师 补习经验丰富,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
234,物理 数学家教,高一家教,女,16,180/2H,无,成绩一般 提前学习高二的内容,安高中学,8月底开始补课 开学前一周2次，开学后一周一次,,嘉定镇,塔城路高昌路,,女,2人,在校教员，有补习经验 有耐心 相关专业的。大三或大四的女学生。物理系的 数学系的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
235,数学家教,四年级家教,男,,300/2h,无,4升5，学校数学没问题， 提前预习,世外,周一到周五上午，一周次数协商,,,新市路广灵二路交界附近，3号线赤峰路下来就是,,无,1人,在职教师，有耐心 补习家教经验丰富,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
236,全科家教,五年级家教,女,,150/3h,无,开学5年级，3门课巩固下，成绩一般,,周末一周2次，一次3小时,,,"枣庄路金杨路交界附近，6号云山路1号出来5,6分钟",,女,1人,在校教员，有补课经验的，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
237,全科家教,初一家教,男,,120/2h,无,开学初一，总体语文英语差一点，检查下作业,理工初中,隔天一次，时间协商,,,佳木斯路黄兴公园交界附近，8号线黄兴公园下来走10分钟左右,,女,1人,在校教员，要上海理工大学的，有补课经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
238,数学 家教,高一家教,男,,180/2H,无,开学高一 补习人教版的教材 回安徽读书的,徐教院附中,暑假里面 一周3次 一次2H,,植物园,龙吴路黄石路交界附近，上海植物园4号门隔壁,,男,1人,在校教员，有辅导经验的，耐心，负责，,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
239,英语家教,高一家教,男,,300/2h,无,小孩数学英语都很不错，增强,嘉定银园中学,一周二次，具体协商，一次2小时，具体协商,,,洪德路沪宜公路交界附近，11号线白银路,,无,2人,专职教师，家教经验丰富的，耐心负责，正在嘉定带教的更好,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
240,数学家教,初一家教,女,,150/2h,无,开学初二，基础不是很好，提高，期末考了78分,,暑假8月中旬，一周1-2次，一次2个小时，开学一周2次，一次2个小时，周中一次，周末一次,,,博山东路云山路交界附近，6号线云山路站下来15分钟可到,,女,1人,在校教员，有补课经验的 能力要强一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
241,物理 化学 英语家教,初一家教,女,,180/2h,无,课后的难题辅导，需要提高,,一周一次，一次两个小时，周天晚上,,,粤秀路广灵四路,,无,1人,在校教员，有赛事经验，耐心，讲解清楚,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
242,全科辅导家教,一年级家教,男,,300/2h,无,开学二年级 巩固基础 预习新课,乐业小学,一周2次 每次2小时,,,月浦月富路,,男,1人,在校教员，有补课经验的 有耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
243,数学家教,六年级家教,女,,350/2h,无,成绩75-80分左右 开学7年级 预习新课 提升成绩,上海同济附属七一中学,暑假7.25号以后 上到开学前，总共安排10次课，教的好开学继续,,,延平路静安寺交界附近，2号线静安寺下来10分钟,,无,1人,专职教师，有补课经验的 有方式方法 带的好的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
244,物理家教,高一家教,男,16,260/2h,无,9月份高二，新高二物理，预习新课 巩固高一的,,周二晚上6点到8点，周四晚上 6-8,,花木,白杨路龙阳路交界附近，2号线龙阳路步行3分钟,,无,1人,在校教员，有补课经验，认真负责，严格要求的，口碑要好。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
245,数理化家教,初二家教,男,,180/2h,无,开学初三 成绩还可以 以数学为主 有一些竞赛的内容,复旦五浦汇实验,暑假周一三五白天，一周1次，一次两个小时。,,上师大,钦州南路柳州路交界附近，1号线漕宝路站下来走10分钟,,男,1人,在校教员，有补课经验的，负责一点的，只要交大复旦的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
246,全科家教,一年级家教,男,,300/2h,无,主要是辅导作业，英语为主,国际学校,一周五次，一次两个小时，周一到周五一般7:00开始2小时或者1小时半，,,,都会路银都路,,男,1人,在职教师，有经验的，要上海老师，年级大一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
247,会计家教,高一家教,男,,300/2h,无,学校有课程，英文教材，比较基础的，批一下作业，薄弱的辅导一下,国际高中,一周1-2次，一次2个小时，时间可以协商,,,都市路湖山在望花园,,无,1人,专业一点，有辅导经验的，负责,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,在线辅导",['已关闭']
248,数学英语家教,四年级家教,男,,140/2h,无,开学四年级，作业辅导,陆川学校,暑假开始 下周开始，晚上,,,1号线漕宝路1号线漕宝路交界附近，1号线漕宝路下来10分钟一下,,无,1人,在校教员，有经验，能提升成绩的，,学员要求看简历，有意向的教员请认真完善简历。,学员上门,['已关闭']
249,语文家教,一年级家教,女,,230/1.5,无,开学新一年级，想要提前学习,,暑假 一周2-3次 周一到周五的上午  一次一个小时,,,厦门路西藏中路,,无,1人,有经验的   有能力的 在职的语文老师,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
250,化学家教,初二家教,女,,400/2h,无,开学初三，提前预习初三的内容,上外,一周2-3次，一次两个小时 周一二四白天,,,中山北路花园路交界附近，8号线,,无,1人,在职教师，专业一点，耐心，负责的,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,学员上门",['已关闭']
251,数学 物理家教,初二家教,男,,160/2h,无,几何偏弱巩固初一+预习新课  开学初二,颛桥中学,一周2次 每次2小时 现在就可以开始,,,都市路颛桥交界附近，5号线,,无,1人,在校教员，有补课经验的 数学带的好的 有自己的方式方法最好,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
